City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,tabou,4.423,-7.3528,302.17,71,89,3.47,CI,1683566910
201,wailua homesteads,22.0669,-159.378,296.34,82,100,8.23,US,1683566653
202,nuuk,64.1835,-51.7216,277.49,75,40,5.14,GL,1683566864
203,niebull,54.7866,8.8285,290.18,71,29,5.64,DE,1683567176
204,pratt,37.6439,-98.7376,300.79,28,0,6.69,US,1683567176
205,segou,13.4317,-6.2157,309.57,25,100,5.15,ML,1683567177
206,chui,-33.6971,-53.4616,294.53,52,1,4.94,UY,1683567177
207,lompoc,34.6391,-120.4579,290.94,71,20,8.05,US,1683566704
208,nayoro,44.3506,142.4578,275.02,91,11,2.02,JP,1683567178
209,margate,51.3813,1.3862,288.08,74,100,4.02,GB,1683567178
210,hazorasp,41.3194,61.0742,295.06,22,56,3.88,UZ,1683567178
211,vadso,70.0744,29.7487,277.24,65,75,5.14,NO,1683566778
212,aripuana,-9.1667,-60.6333,301.19,80,91,1.09,BR,1683566887
213,keflavik,64.0049,-22.5624,285.1,93,100,5.66,IS,1683566724
214,dobris,49.7811,14.1672,288.48,67,97,2.67,CZ,1683567179
215,pitimbu,-7.4706,-34.8086,304.48,62,61,5.58,BR,1683567180
216,vinaros,40.4703,0.4756,301.98,62,88,6.05,ES,1683567180
217,brumado,-14.2036,-41.6653,306.07,32,12,2.24,BR,1683567180
218,chiredzi,-21.05,31.6667,292.78,66,1,2.66,ZW,1683567181
219,nadym,65.5333,72.5167,265.86,91,100,14.61,RU,1683566722
220,palmer,42.1584,-72.3287,296.4,33,40,7.72,US,1683566583
221,primorsk,46.7348,36.3443,281.81,82,100,9.46,UA,1683567182
222,mitu,1.1983,-70.1733,305.82,50,41,0.18,CO,1683567183
223,port sudan,19.6175,37.2164,299.91,57,2,3.89,SD,1683567183
224,vuktyl,63.8567,57.3094,269.63,95,89,2.54,RU,1683566885
225,franceville,-1.6333,13.5836,296.91,92,96,0.76,GA,1683567184
226,aasiaat,68.7098,-52.8699,271.52,85,100,5.75,GL,1683566718
227,palangue,14.2842,120.8114,299.81,82,98,1.49,PH,1683567184
228,margaret river,-33.95,115.0667,291.43,46,90,6.73,AU,1683566526
229,northam,51.0333,-4.2167,286.7,98,100,2.77,GB,1683567185
230,hithadhoo,-0.6,73.0833,301.61,74,45,5.27,MV,1683566851
231,labrador city,52.9463,-66.9114,273.1,51,100,5.14,CA,1683566696
232,key west,24.5557,-81.7826,302.15,60,20,4.63,US,1683566738
233,mossel bay,-34.1831,22.146,290.11,83,99,0.33,ZA,1683567186
234,gaspe,48.8334,-64.4819,281.27,34,75,3.6,CA,1683567187
235,pacasmayo,-7.4006,-79.5714,295.81,89,26,6.42,PE,1683567187
236,sandnessjoen,66.0217,12.6316,288.44,38,0,1.54,NO,1683566723
237,skovorodino,53.9833,123.9167,272.91,58,0,3.56,RU,1683567187
238,kokopo,-4.352,152.2633,299.76,81,99,2.35,PG,1683567188
